23:29:52.601 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
23:29:52.615 [main] INFO  c.example.webdemo.WebdemoApplication - Starting WebdemoApplication using Java 1.8.0_311 on WIN-20230608VMY with PID 18668 (D:\study\Desktop\Desktop\study\ash_bytebuddy_study\web-demo\target\classes started by Administrator in D:\study\Desktop\Desktop\study\ash_bytebuddy_study)
23:29:52.616 [main] INFO  c.example.webdemo.WebdemoApplication - No active profile set, falling back to 1 default profile: "default"
23:29:54.156 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23:29:54.165 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23:29:54.166 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:29:54.166 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:29:54.266 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:29:54.266 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1598 ms
23:29:54.539 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
23:29:54.617 [main] WARN  o.s.b.a.f.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
23:29:54.629 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23:29:54.646 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23:29:54.656 [main] INFO  c.example.webdemo.WebdemoApplication - Started WebdemoApplication in 2.345 seconds (JVM running for 3.227)
23:30:04.926 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:30:04.927 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23:30:04.927 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
23:41:50.343 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
23:41:50.363 [main] INFO  c.example.webdemo.WebdemoApplication - Starting WebdemoApplication using Java 1.8.0_311 on WIN-20230608VMY with PID 6288 (D:\study\Desktop\Desktop\study\ash_bytebuddy_study\web-demo\target\classes started by Administrator in D:\study\Desktop\Desktop\study\ash_bytebuddy_study)
23:41:50.364 [main] INFO  c.example.webdemo.WebdemoApplication - No active profile set, falling back to 1 default profile: "default"
23:41:52.177 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23:41:52.187 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23:41:52.188 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:41:52.188 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:41:52.302 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:41:52.302 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1871 ms
23:41:52.571 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
23:41:52.644 [main] WARN  o.s.b.a.f.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
23:41:52.656 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23:41:52.669 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23:41:52.676 [main] INFO  c.example.webdemo.WebdemoApplication - Started WebdemoApplication in 2.613 seconds (JVM running for 3.329)
23:41:57.045 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:41:57.045 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23:41:57.046 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
23:44:37.725 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
23:44:37.739 [main] INFO  c.example.webdemo.WebdemoApplication - Starting WebdemoApplication using Java 1.8.0_311 on WIN-20230608VMY with PID 8684 (D:\study\Desktop\Desktop\study\ash_bytebuddy_study\web-demo\target\classes started by Administrator in D:\study\Desktop\Desktop\study\ash_bytebuddy_study)
23:44:37.740 [main] INFO  c.example.webdemo.WebdemoApplication - No active profile set, falling back to 1 default profile: "default"
23:44:39.381 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23:44:39.391 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23:44:39.392 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:44:39.392 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:44:39.487 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:44:39.487 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1700 ms
23:44:39.772 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
